
****************** INTERNAL TRANSMISSION LINES FLOWS *********************
TRANSMISSION LINE ID	CONTINGENCY SCENARIO	MW FLOW
71	Base-Case	-10.0972 MW
72	Base-Case	-47.0827 MW
73	Base-Case	-16.0145 MW
74	Base-Case	25.4801 MW
75	Base-Case	18.4372 MW
76	Base-Case	2.71596 MW
77	Base-Case	-11.2359 MW
78	Base-Case	-1.56276 MW
79	Base-Case	24.682 MW
80	Base-Case	30.8982 MW
81	Base-Case	7.99453 MW
82	Base-Case	7.93959 MW
83	Base-Case	-0.0634561 MW
84	Base-Case	-0.0634561 MW
85	Base-Case	-10.1576 MW
86	Base-Case	7.682 MW
87	Base-Case	17.4916 MW
88	Base-Case	-3.59344 MW
89	Base-Case	-0.50837 MW
90	Base-Case	-23.5084 MW
91	Base-Case	1.41798 MW
92	Base-Case	16.5379 MW
93	Base-Case	9.46989 MW
94	Base-Case	3.82023 MW
95	Base-Case	9.59775 MW
96	Base-Case	4.318 MW
97	Base-Case	15.5934 MW
98	Base-Case	8.02195 MW
99	Base-Case	8.42472 MW
100	Base-Case	-14.6558 MW
101	Base-Case	-21.4388 MW
102	Base-Case	69.0378 MW
103	Base-Case	-80.7957 MW
104	Base-Case	-11.8601 MW
105	Base-Case	11.3136 MW
106	Base-Case	30.9622 MW
107	Base-Case	-7.7856 MW
108	Base-Case	5.23908 MW
109	Base-Case	-69.0378 MW
110	Base-Case	-100 MW
111	Base-Case	69.6734 MW
112	Base-Case	-100 MW
113	Base-Case	22.7609 MW
114	Base-Case	24.1264 MW
115	Base-Case	-100 MW
116	Base-Case	-24.1264 MW
117	Base-Case	11.5029 MW
118	Base-Case	26.0728 MW
119	Base-Case	-34.8429 MW
120	Base-Case	-55.3615 MW
121	Base-Case	8.30428 MW
122	Base-Case	12.1987 MW
123	Base-Case	-55.3615 MW
124	Base-Case	-1.46726e-11 MW
125	Base-Case	15.3043 MW
126	Base-Case	-33.5168 MW
127	Base-Case	40.0926 MW
128	Base-Case	-60.9074 MW
129	Base-Case	-7.09257 MW
130	Base-Case	59.5415 MW
131	Base-Case	-63.7845 MW
132	Base-Case	-29.4623 MW
133	Base-Case	-81.5618 MW
134	Base-Case	-11.4585 MW
135	Base-Case	-50.4585 MW
136	Base-Case	-100 MW
137	Base-Case	-31.5849 MW
138	Base-Case	-24.3043 MW
139	Base-Case	-45.2093 MW
140	Base-Case	-94.6434 MW
141	Base-Case	-100 MW
142	Base-Case	-35.5618 MW
143	Base-Case	-49.5638 MW
144	Base-Case	-70.4362 MW
145	Base-Case	-60.5638 MW
146	Base-Case	-17.2109 MW
147	Base-Case	-32.6174 MW
148	Base-Case	-52.41 MW
149	Base-Case	-38.2109 MW
150	Base-Case	-80.6174 MW
151	Base-Case	-0.301 MW
152	Base-Case	-0.567583 MW
153	Base-Case	80.2113 MW
154	Base-Case	25.6209 MW
155	Base-Case	-20.1496 MW
156	Base-Case	45.5327 MW
157	Base-Case	67.0053 MW
158	Base-Case	61.4458 MW
159	Base-Case	13.2489 MW
160	Base-Case	26.7795 MW
161	Base-Case	55.0053 MW
162	Base-Case	100 MW
163	Base-Case	86.4511 MW
164	Base-Case	-100 MW
165	Base-Case	58 MW
166	Base-Case	39.3043 MW
167	Base-Case	-79.2093 MW
168	Base-Case	5.35657 MW
169	Base-Case	0.22055 MW
170	Base-Case	-34.1559 MW
171	Base-Case	-6.52115 MW
172	Base-Case	1.35289 MW
173	Base-Case	-21.7795 MW
174	Base-Case	2.92215 MW
175	Base-Case	3.03246 MW
176	Base-Case	-12.8347 MW
177	Base-Case	0.791164 MW
178	Base-Case	29.4373 MW
179	Base-Case	-3.41079 MW
180	Base-Case	-11.4096 MW
181	Base-Case	-12.2098 MW
182	Base-Case	-13.4096 MW
183	Base-Case	-21.4096 MW
184	Base-Case	-31.9815 MW
185	Base-Case	-7.41925 MW
186	Base-Case	16.7846 MW
Finished writing Internal Transmission lines' MW Flows
